,match_id,winner
0,5490431444,Team Secret
1,5490337091,Team Secret
2,5488049930,Nigma
3,5487987325,Nigma
4,5487920183,Team Liquid
5,5487470903,Team Liquid
6,5487382837,Team Liquid
7,5482517767,Virtus.pro
8,5482451181,Virtus.pro
9,5479284451,Team Liquid
10,5479162387,Team Liquid
11,5475473076,Team Liquid
12,5475404334,Team Liquid
13,5475338534,Team Empire
14,5474238953,Team Liquid
15,5474154715,Team Liquid
16,5472760313,Team Liquid
17,5472683811,Team Liquid
18,5472581443,Ninjas in Pyjamas
19,5467338855,Nigma
20,5467243363,Nigma
21,5467135969,Team Liquid
22,5465920618,Team Liquid
23,5465838313,Team Liquid
24,5462574971,Nigma
25,5462470225,Team Liquid
26,5462382242,Nigma
27,5453872903,Nigma
28,5450581495,Team Liquid
29,5450485396,HellRaisers
30,5450379602,Team Liquid
31,5446735849,Team Liquid
32,5446579683,Natus Vincere
33,5446429838,Team Liquid
34,5444494373,Nigma
35,5444388252,Nigma
36,5444178849,Team Liquid
37,5442345688,Team Liquid
38,5442130802,Team Liquid
39,5439105884,Team Liquid
40,5439033949,Team Liquid
41,5436769744,Team Liquid
42,5436679814,Team Liquid
43,5435437375,ViKin.gg
44,5435358204,ViKin.gg
45,5433169100,Team Secret
46,5433022451,Team Secret
47,5431601321,Team Secret
48,5431538040,Team Secret
49,5431446895,Team Secret
50,5430985653,Team Liquid
51,5430896208,Team Liquid
52,5429542880,Team Liquid
53,5429518804,Virtus.pro
54,5429389505,Team Liquid
55,5428984190,Team Liquid
56,5428916783,Team Liquid
57,5428067328,Team Liquid
58,5427945898,Team Liquid
59,5427826294,FlyToMoon
60,5424817213,Virtus.pro
61,5424708154,Team Liquid
62,5424574633,Virtus.pro
63,5423061037,Team Secret
64,5422803635,Team Secret
65,5415274045,Team Liquid
66,5415193648,Team Liquid
67,5413590967,Ninjas in Pyjamas
68,5413516052,Ninjas in Pyjamas
69,5413388664,Team Liquid
70,5411281598,VP.Prodigy
71,5411185196,VP.Prodigy
72,5409896513,Team Liquid
73,5409783750,Team Liquid
74,5409569580,Team Liquid
75,5409453940,Alliance
76,5409345502,Team Liquid
77,5408143396,Team Secret
78,5408031242,Team Secret
79,5404261360,Team Liquid
80,5404104229,Team Liquid
81,5396441960,Team Liquid
82,5396320618,Team Liquid
83,5390578531,Team Liquid
84,5390454813,Team Liquid
85,5388403687,Team Liquid
86,5388272446,Team Secret
87,5388124313,Team Liquid
88,5380279351,Team Liquid
89,5380165383,Nigma
90,5380053716,Team Liquid
91,5378776518,Alliance
92,5378677021,Alliance
93,5378573436,Team Liquid
94,5376173268,Ninjas in Pyjamas
95,5375966447,Ninjas in Pyjamas
96,5360122797,Team Liquid
97,5359992382,Team Liquid
98,5357895815,Team Liquid
99,5357767106,Team Liquid
